user_id;rating;item_id
1;3;1
1;1;2
1;5;3
1;4;4
1;4;5
1;3;6
1;5;7
1;2;8
1;1;9
1;1;10
2;4;1
2;2;2
2;2;3
2;2;4
2;4;5
2;1;6
2;1;7
2;5;8
2;4;9
2;3;10
3;5;1
3;2;2
3;5;3
3;1;4
3;1;5
3;5;6
3;5;7
3;2;8
3;1;9
3;1;10
4;1;1
4;3;2
4;4;3
4;1;4
4;5;5
4;2;6
4;5;7
4;1;8
4;1;9
4;1;10
5;1;1
5;4;2
5;3;3
5;5;4
5;5;5
5;2;6
5;3;7
5;5;8
5;2;9
5;4;10
6;1;1
6;5;2
6;5;3
6;3;4
6;1;5
6;2;6
6;2;7
6;2;8
6;4;9
6;5;10
7;3;1
7;5;2
7;3;3
7;5;4
7;1;5
7;3;6
7;2;7
7;5;8
7;5;9
7;5;10
8;2;1
8;4;2
8;3;3
8;5;4
8;3;5
8;5;6
8;5;7
8;2;8
8;4;9
8;1;10
9;4;1
9;5;2
9;1;3
9;4;4
9;5;5
9;1;6
9;4;7
9;3;8
9;2;9
9;2;10
10;5;1
10;3;2
10;2;3
10;5;4
10;2;5
10;3;6
10;4;7
10;3;8
10;1;9
10;3;10
11;2;1
11;3;2
11;2;3
11;4;4
11;5;5
11;1;6
11;1;7
11;2;8
11;5;9
11;2;10
12;1;1
12;5;2
12;5;3
12;4;4
12;4;5
12;2;6
12;2;7
12;2;8
12;2;9
12;3;10
13;1;1
13;1;2
13;1;3
13;3;4
13;3;5
13;1;6
13;3;7
13;5;8
13;1;9
13;1;10
14;1;1
14;1;2
14;3;3
14;1;4
14;3;5
14;2;6
14;4;7
14;4;8
14;5;9
14;1;10
15;2;1
15;5;2
15;2;3
15;2;4
15;4;5
15;1;6
15;3;7
15;3;8
15;4;9
15;5;10
16;4;1
16;3;2
16;2;3
16;5;4
16;2;5
16;5;6
16;2;7
16;2;8
16;2;9
16;2;10
17;4;1
17;5;2
17;5;3
17;2;4
17;2;5
17;2;6
17;2;7
17;3;8
17;4;9
17;5;10
18;2;1
18;3;2
18;2;3
18;5;4
18;1;5
18;2;6
18;4;7
18;1;8
18;2;9
18;3;10
19;5;1
19;2;2
19;2;3
19;4;4
19;2;5
19;5;6
19;3;7
19;5;8
19;4;9
19;4;10
20;2;1
20;5;2
20;1;3
20;2;4
20;2;5
20;1;6
20;1;7
20;4;8
20;1;9
20;2;10
21;5;1
21;4;2
21;1;3
21;4;4
21;5;5
21;3;6
21;5;7
21;1;8
21;3;9
21;3;10
